Ax,Ay,Az,Gx,Gy,Gz,Label
0.442,-0.054,0.812,-33.336,206.092,38.099,Pitch
0.375,-0.062,0.937,-21.885,250.130,55.748,Pitch
0.154,0.002,0.929,-18.679,250.130,52.557,Pitch
0.038,-0.038,0.927,-18.672,249.931,46.344,Pitch
-0.045,-0.058,1.101,0.908,201.870,34.214,Pitch
-0.185,-0.040,1.024,5.992,133.649,26.168,Pitch
-0.219,-0.080,1.077,1.168,77.786,19.817,Pitch
-0.293,-0.094,1.098,2.015,14.672,12.000,Pitch
-0.335,-0.075,1.138,0.328,-62.779,-1.084,Pitch
-0.253,-0.108,1.162,1.603,-125.565,-14.763,Pitch
-0.123,-0.052,0.982,16.130,-214.557,-12.229,Pitch
0.033,-0.004,0.916,8.809,-250.137,-22.084,Pitch
0.193,-0.030,0.960,16.351,-250.137,-22.947,Pitch
0.314,-0.021,0.881,44.160,-250.137,-18.588,Pitch
0.410,0.008,0.888,55.191,-217.878,-17.962,Pitch
0.477,0.093,0.900,32.534,-171.733,-15.664,Pitch
0.539,0.040,0.811,12.275,-102.473,-18.458,Pitch
0.560,0.048,0.757,10.282,-42.344,-18.168,Pitch
0.563,0.008,0.778,-19.160,100.405,3.847,Pitch
0.544,0.034,0.762,-24.595,199.351,22.763,Pitch
0.448,0.034,0.873,-43.183,250.130,30.328,Pitch
0.345,-0.001,0.910,-55.366,250.130,29.191,Pitch
0.176,-0.034,0.868,-50.969,250.130,35.359,Pitch
-0.016,-0.079,1.051,-33.634,250.130,39.382,Pitch
-0.183,-0.069,1.009,-18.954,172.534,34.046,Pitch
-0.268,-0.086,1.031,-11.275,92.901,22.496,Pitch
-0.262,-0.076,1.053,-12.229,33.618,8.267,Pitch
-0.285,-0.082,1.074,1.962,-32.847,1.656,Pitch
-0.355,-0.095,1.138,2.565,-117.427,-12.840,Pitch
-0.221,-0.081,1.120,9.336,-175.962,-29.656,Pitch
-0.064,-0.069,0.882,-9.412,-229.389,-36.244,Pitch
0.135,-0.128,0.973,3.824,-238.878,-33.206,Pitch
0.278,-0.048,0.953,31.962,-212.168,-30.282,Pitch
0.318,-0.050,0.933,51.885,-189.351,-28.275,Pitch
0.391,-0.014,0.858,55.832,-162.809,-20.328,Pitch
0.468,0.013,0.840,39.191,-123.282,-11.076,Pitch
0.506,0.011,0.848,23.038,-78.115,-2.916,Pitch
0.555,-0.007,0.885,19.031,-36.122,4.046,Pitch
0.523,0.023,0.772,3.656,25.359,17.962,Pitch
0.495,-0.021,0.770,-15.427,142.137,36.260,Pitch
0.478,-0.030,0.926,-35.115,250.130,54.542,Pitch
0.322,0.030,0.907,-52.420,250.130,41.168,Pitch
0.182,0.013,0.848,-38.725,250.130,22.634,Pitch
0.035,-0.094,0.968,-24.084,233.145,16.725,Pitch
-0.124,-0.108,1.067,-16.092,192.824,17.611,Pitch
-0.240,-0.139,1.047,-3.298,111.504,17.313,Pitch
-0.296,-0.104,1.112,16.557,1.954,10.626,Pitch
-0.285,-0.091,1.144,16.649,-93.947,0.756,Pitch
-0.185,-0.068,1.108,19.687,-198.450,-2.618,Pitch
-0.031,-0.056,1.082,28.542,-250.137,-5.008,Pitch
0.147,0.002,0.950,26.985,-250.137,-3.153,Pitch
0.283,-0.006,0.946,28.916,-250.137,3.191,Pitch
0.397,0.010,0.918,22.092,-227.947,0.099,Pitch
0.467,0.032,0.826,18.527,-161.718,-1.176,Pitch
0.532,0.043,0.782,-2.695,-72.435,-5.664,Pitch
0.601,0.009,0.826,-10.321,-9.557,-13.618,Pitch
0.561,-0.032,0.802,-11.840,57.847,-12.527,Pitch
0.531,-0.013,0.770,-14.908,136.947,-6.496,Pitch
0.461,-0.020,0.865,-12.817,213.634,-5.191,Pitch
0.366,0.026,0.856,-29.290,250.130,-6.244,Pitch
0.297,-0.029,0.863,-24.290,250.130,2.748,Pitch
0.087,-0.084,0.983,-17.053,250.130,11.649,Pitch
-0.089,-0.088,1.052,-9.496,176.137,20.916,Pitch
-0.178,-0.076,1.007,-7.962,91.099,21.427,Pitch
-0.174,-0.041,1.050,-4.183,41.954,12.427,Pitch
-0.154,-0.024,1.072,-5.840,12.939,2.466,Pitch
-0.019,-0.060,1.140,10.092,-19.260,-3.481,Pitch
-0.197,-0.139,1.092,28.931,-70.985,-5.832,Pitch
-0.128,-0.171,1.158,46.893,-168.290,17.282,Pitch
-0.047,-0.031,1.049,55.992,-250.137,11.191,Pitch
0.170,0.095,0.899,34.405,-250.137,-5.015,Pitch
0.300,0.028,0.834,24.305,-250.137,-2.443,Pitch
0.454,0.089,0.829,-1.053,-235.733,-0.237,Pitch
0.532,0.068,0.856,-19.290,-137.557,-4.313,Pitch
0.564,0.045,0.826,-23.771,-39.832,-11.336,Pitch
0.531,0.006,0.797,-17.901,13.870,-12.061,Pitch
0.502,-0.032,0.815,-16.290,154.176,0.313,Pitch
0.424,0.006,0.811,-27.710,250.130,10.084,Pitch
0.361,-0.037,0.954,-56.321,250.130,14.168,Pitch
0.189,0.000,0.980,-45.481,250.130,15.168,Pitch
0.109,-0.096,0.969,-28.229,250.130,11.756,Pitch
-0.109,-0.070,1.090,-7.321,202.412,5.176,Pitch
-0.261,-0.122,1.036,7.214,79.229,3.779,Pitch
-0.271,-0.078,1.065,12.527,10.977,-2.908,Pitch
-0.287,-0.093,1.107,13.969,-52.061,-15.481,Pitch
-0.249,-0.095,1.143,23.244,-137.656,-22.779,Pitch
-0.092,-0.075,1.121,31.542,-223.702,-21.908,Pitch
0.023,0.019,0.948,24.779,-250.137,-34.397,Pitch
0.198,-0.038,0.903,11.847,-250.137,-41.229,Pitch
0.358,-0.012,0.880,11.450,-249.817,-33.229,Pitch
0.486,0.021,0.830,14.031,-185.237,-19.443,Pitch
0.510,0.033,0.787,9.565,-109.053,-7.336,Pitch
0.551,0.018,0.753,5.870,-52.015,1.473,Pitch
0.559,0.021,0.793,-0.069,-4.412,0.985,Pitch
0.492,0.010,0.744,-18.702,61.847,8.756,Pitch
0.439,-0.023,0.753,-34.038,209.779,29.359,Pitch
0.454,-0.088,0.988,-43.878,250.130,48.076,Pitch
0.229,0.004,0.973,-40.412,250.130,38.969,Pitch
-0.018,-0.030,0.935,-23.328,250.130,30.634,Pitch
-0.163,-0.110,1.042,-0.015,183.802,41.641,Pitch
-0.212,-0.140,1.017,12.038,116.947,47.237,Pitch
-0.269,-0.069,1.063,21.756,37.046,27.115,Pitch
-0.297,-0.025,1.115,26.237,-54.595,2.374,Pitch
-0.188,-0.034,1.091,-0.282,-113.244,-9.198,Pitch
-0.144,-0.060,1.108,-7.069,-155.374,-11.565,Pitch
-0.034,-0.064,1.096,16.176,-184.519,-21.855,Pitch
0.057,-0.027,1.000,42.702,-212.695,-16.763,Pitch
0.207,0.013,0.940,46.046,-232.817,-19.649,Pitch
0.295,0.047,0.922,45.344,-204.267,-20.824,Pitch
0.371,0.030,0.910,33.496,-149.550,-17.183,Pitch
0.433,0.062,0.850,22.779,-93.863,-15.298,Pitch
0.475,0.061,0.858,10.420,-51.267,-17.893,Pitch
0.494,0.061,0.861,-4.771,-11.229,-11.336,Pitch
0.433,0.060,0.795,-26.595,66.618,-6.557,Pitch
0.433,0.022,0.755,-46.023,188.069,-4.221,Pitch
0.365,0.026,0.931,-69.130,250.130,3.740,Pitch
0.231,-0.028,0.954,-68.802,250.130,13.802,Pitch
0.141,-0.055,0.923,-45.588,250.130,12.641,Pitch
-0.014,-0.053,1.048,-19.313,196.855,15.344,Pitch
-0.163,-0.110,1.034,-9.962,130.450,19.947,Pitch
-0.251,-0.112,1.039,6.031,72.420,23.565,Pitch
-0.256,-0.084,1.093,4.939,7.076,13.687,Pitch
-0.241,-0.082,1.101,8.969,-63.718,2.412,Pitch
-0.179,-0.100,1.118,16.450,-150.122,-6.137,Pitch
-0.098,-0.069,1.090,21.901,-208.489,-11.206,Pitch
0.012,-0.033,0.906,21.718,-250.137,-9.847,Pitch
0.180,0.001,0.932,28.672,-250.137,-13.840,Pitch
0.298,0.011,0.923,33.511,-250.137,-11.137,Pitch
0.462,0.020,0.867,30.107,-216.588,-10.565,Pitch
0.516,0.031,0.826,16.176,-136.351,-11.397,Pitch
0.571,0.034,0.845,14.969,-80.656,-13.321,Pitch
0.575,0.052,0.793,19.595,-36.450,-14.420,Pitch
0.559,0.004,0.743,2.137,80.198,3.840,Pitch
0.533,0.049,0.799,-17.198,194.672,15.924,Pitch
0.462,0.028,0.892,-43.740,250.130,23.099,Pitch
